0;1;2;3
Uzupełnij brakujące słowo;W nawiasie polskie znaczenie;Les goûts;
J'adore la;!;mer;Uwielbiam morze! (3 lettres)
J'aime la;.;pluie;Lubię deszcz. (5 lettres)
Je n'aime pas la;.;bière;Nie lubię piwa. (5 lettres)
Je suis;.;polonais;Jestem Polakiem. (8 lettres)
J'aime le;.;fromage;Lubię ser. (7 lettres)
Je déteste l';!;alcool;Nie znoszę alkoholu! (6 lettres)
Je ne parle pas;.;allemand;Nie mówię po niemiecku. (8 lettres)
J'adore la;française.;cuisine;Uwielbiam kuchnię francuską. (7 lettres)
J'aime les;.;fleurs;Lubię kwiaty. (6 lettres)
Je n'aime pas le;.;vin;Nie lubię wina. (3 lettres)
Je déteste le;!;bruit;Nie znoszę hałasu! (5 lettres)
J'adore la;classique.;musique;Uwielbiam muzykę klasyczną. (7 lettres)
J'aime;.;danser;Lubię tańczyć. (6 lettres)
J'adore;en France.;voyager;Uwielbiam podróżować po Francji. (7 lettres)
Je n'aime pas la;.;montagne;Nie lubię gór. (8 lettres)
J'aime le;.;soleil;Lubię słońce. (6 lettres)
Je déteste la;!;viande;Nie znoszę mięsa! (6 lettres)
J'adore;le soir.;danser;Uwielbiam tańczyć wieczorem. (6 lettres)
Je n'aime pas;seul.;voyager;Nie lubię podróżować sam. (7 lettres)
J';les fleurs rouges.;aime;Lubię czerwone kwiaty. (4 lettres)
